title,artist,gen,Feeling
I Knew You Were Trouble.,Taylor Swift,pop,
Call Me Maybe,Carly Rae Jepsen,pop,
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,
Set Fire to the Rain,Adele,soul,
We Are Never Ever Getting Back Together,Taylor Swift,pop,
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,
Try,P!nk,dance pop,
Starships,Nicki Minaj,dance pop,
One More Night,Maroon 5,pop,
Good Time,Owl City,pop,
Glad You Came,The Wanted,pop,
Beauty And A Beat,Justin Bieber,pop,
International Love,Pitbull,dance pop,
Some Nights,fun.,pop,
Boyfriend,Justin Bieber,pop,
Part Of Me,Katy Perry,dance pop,
Domino,Jessie J,pop,
Where Have You Been,Rihanna,pop,
Wide Awake,Katy Perry,dance pop,
The One That Got Away,Katy Perry,dance pop,
Dance Again,Jennifer Lopez,dance pop,
Turn Up the Music,Chris Brown,dance pop,
Lights - Single Version,Ellie Goulding,dance pop,
We Are Young (feat. Janelle Mon醗),fun.,pop,
Diamonds,Rihanna,pop,
Don't Stop the Party (feat. TJR),Pitbull,dance pop,
You Da One,Rihanna,pop,
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,
It Will Rain,Bruno Mars,pop,
Blow Me (One Last Kiss),P!nk,dance pop,
Underneath the Tree,Kelly Clarkson,dance pop,
Wake Me Up,Avicii,electro house,
Story of My Life,One Direction,pop,
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,
Hall of Fame,The Script,rock,
Roar,Katy Perry,dance pop,
We Can't Stop,Miley Cyrus,dance pop,
Don't You Worry Child - Radio Edit,Swedish House Mafia,electro house,
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,
Wrecking Ball,Miley Cyrus,dance pop,
Impossible,James Arthur,pop,
Blurred Lines,Robin Thicke,dance pop,
Heart Attack,Demi Lovato,dance pop,
We Are Never Ever Getting Back Together,Taylor Swift,pop,
Die Young,Kesha,dance pop,
Clarity,Zedd,electro house,
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,
Under Control,Calvin Harris,dance pop,
Everybody Talks,Neon Trees,indie pop,
"Hold On, We're Going Home",Drake,hip hop,
Best Song Ever,One Direction,pop,
Kiss You,One Direction,pop,
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,
Lose Yourself to Dance,Daft Punk,electro,
Work Bitch,Britney Spears,dance pop,
Brave,Sara Bareilles,acoustic pop,
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,
Beneath Your Beautiful,Labrinth,pop,
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,
The Way,Ariana Grande,dance pop,
Suit & Tie,Justin Timberlake,dance pop,
#thatPOWER,will.i.am,dance pop,
I Love It (feat. Charli XCX),Icona Pop,candy pop,
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,
Daylight,Maroon 5,pop,
Love Somebody,Maroon 5,pop,
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,
Move,Little Mix,dance pop,
Walks Like Rihanna,The Wanted,pop,
Rock N Roll,Avril Lavigne,pop,
Heartbreaker,Justin Bieber,pop,
Mirrors - Radio Edit,Justin Timberlake,dance pop,
Next To Me,Emeli Sande,dance pop,
Made In The USA,Demi Lovato,dance pop,
Clown,Emeli Sande,dance pop,
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,
TKO,Justin Timberlake,dance pop,
Come & Get It,Selena Gomez,dance pop,
Live It Up,Jennifer Lopez,dance pop,
We Own The Night,The Wanted,pop,
Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,Coldplay,permanent wave,
What About Love,Austin Mahone,dance pop,
Take Back the Night,Justin Timberlake,dance pop,
Applause,Lady Gaga,dance pop,
Anything Could Happen,Ellie Goulding,dance pop,
Finally Found You,Enrique Iglesias,dance pop,
Pom Poms,Jonas Brothers,pop,
#Beautiful,Mariah Carey,dance pop,
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,
Crazy Kids (feat. will.i.am),Kesha,dance pop,
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,
People Like Us,Kelly Clarkson,dance pop,
Overdose,Ciara,dance pop,
Right Now - Dyro Radio Edit,Rihanna,pop,
Give It 2 U,Robin Thicke,dance pop,
Foolish Games,Jewel,alaska indie,
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,
Freak,Kelly Rowland,hip hop,
All of Me,John Legend,neo mellow,
Stay With Me,Sam Smith,pop,
Summer,Calvin Harris,dance pop,
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,
Rude,MAGIC!,pop,
Shake It Off,Taylor Swift,pop,
Dark Horse,Katy Perry,dance pop,
Hey Brother,Avicii,electro house,
Maps,Maroon 5,pop,
Treasure,Bruno Mars,pop,
Let Her Go,Passenger,folk-pop,
Problem,Ariana Grande,dance pop,
Pompeii,Bastille,metropopolis,
Team,Lorde,pop,
Love Me Again,John Newman,pop,
Latch,Disclosure,house,
Adore You,Miley Cyrus,dance pop,
Love Never Felt So Good,Michael Jackson,pop,
Burn,Ellie Goulding,dance pop,
She Looks So Perfect,5 Seconds of Summer,pop,
Fancy,Iggy Azalea,hip hop,
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,
Gorilla,Bruno Mars,pop,
human,Christina Perri,dance pop,
Young Girls,Bruno Mars,pop,
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,
Love Runs Out,OneRepublic,dance pop,
This Is How We Do,Katy Perry,dance pop,
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,
#SELFIE,The Chainsmokers,electropop,
Partition,Beyonce,dance pop,
Birthday,Katy Perry,dance pop,
G.U.Y.,Lady Gaga,dance pop,
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,electro house,
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,
Wings,Birdy,neo mellow,
Can't Remember to Forget You (feat. Rihanna),Shakira,pop,
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,
Say Something,A Great Big World,neo mellow,
A Sky Full of Stars,Coldplay,permanent wave,
Come Get It Bae,Pharrell Williams,dance pop,
Chandelier,Sia,australian dance,
XO,Beyonce,dance pop,
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,
Not About Angels,Birdy,neo mellow,
Drunk in Love,Beyonce,dance pop,
Anaconda,Nicki Minaj,dance pop,
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,Charli XCX,candy pop,
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,pop,
Tee Shirt - Soundtrack Version,Birdy,neo mellow,
Words as Weapons,Birdy,neo mellow,
You're Mine (Eternal),Mariah Carey,dance pop,
Sheezus,Lily Allen,dance pop,
Cannonball,Lea Michele,hollywood,
It's On Again - Main Soundtrack,Alicia Keys,hip pop,
I Luh Ya Papi,Jennifer Lopez,dance pop,
Not a Bad Thing,Justin Timberlake,dance pop,
Thinking out Loud,Ed Sheeran,pop,
I'm Not The Only One,Sam Smith,pop,
The Hills,The Weeknd,canadian contemporary r&b,
Love Yourself,Justin Bieber,pop,
Uptown Funk,Mark Ronson,dance pop,
Take Me To Church,Hozier,irish singer-songwriter,
Sugar,Maroon 5,pop,
Sorry,Justin Bieber,pop,
FourFiveSeconds,Rihanna,pop,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,
What Do You Mean?,Justin Bieber,pop,
Stitches,Shawn Mendes,pop,
Want to Want Me,Jason Derulo,dance pop,
My House,Flo Rida,dance pop,
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,
Night Changes,One Direction,pop,
How Deep Is Your Love,Calvin Harris,dance pop,
Never Forget You,Zara Larsson,dance pop,
Love Me Harder,Ariana Grande,dance pop,
Animals,Maroon 5,pop,
Blame,Calvin Harris,dance pop,
Worth It,Fifth Harmony,dance pop,
Break Free,Ariana Grande,dance pop,
Don't,Ed Sheeran,pop,
Elastic Heart,Sia,australian dance,
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,
Hello,Adele,soul,
Dear Future Husband,Meghan Trainor,dance pop,
43776,Beyonce,dance pop,
The Heart Wants What It Wants,Selena Gomez,dance pop,
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,
Genie In a Bottle,Christina Aguilera,dance pop,
Company,Justin Bieber,pop,
Sing,Ed Sheeran,pop,
Jealous - Remix,Nick Jonas,dance pop,
Really Don't Care,Demi Lovato,dance pop,
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,
Only Love Can Hurt Like This,Paloma Faith,soul,
Heartbeat Song,Kelly Clarkson,dance pop,
Up,Olly Murs,dance pop,
Trumpets,Jason Derulo,dance pop,
Runnin' (Lose It All),Naughty Boy,tropical house,
Same Old Love,Selena Gomez,dance pop,
I Want You To Know,Zedd,electro house,
Lips Are Movin,Meghan Trainor,dance pop,
I'll Show You,Justin Bieber,pop,
Here,Alessia Cara,canadian contemporary r&b,
I Lived,OneRepublic,dance pop,
Fireball (feat. John Ryan),Pitbull,dance pop,
Easy Love,Sigala,dance pop,
The Feeling,Justin Bieber,pop,
I Really Like You,Carly Rae Jepsen,pop,
BO$$,Fifth Harmony,dance pop,
Sugar,Maroon 5,pop,
Focus,Ariana Grande,dance pop,
All About That Bass,Meghan Trainor,dance pop,
On My Mind,Ellie Goulding,dance pop,
Love Me Like You,Little Mix,dance pop,
Broken Arrows,Avicii,electro house,
Booty,Jennifer Lopez,dance pop,
What Do You Mean? - Acoustic,Justin Bieber,pop,
Mark My Words,Justin Bieber,pop,
Lay It All on Me,Rudimental,dance pop,
American Oxygen,Rihanna,pop,
Bang Bang,Jessie J,pop,
Reality - Radio Edit,Lost Frequencies,belgian edm,
Alive,Sia,australian dance,
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,
Been You,Justin Bieber,pop,
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,
Heroes (we could be),Alesso,electro house,
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,
Perfect,One Direction,pop,
Ghosttown,Madonna,dance pop,
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,
Bloodstream,Ed Sheeran,pop,
Living For Love,Madonna,dance pop,
Baby Don't Lie,Gwen Stefani,dance pop,
Don't Be so Hard on Yourself,Jess Glynne,dance pop,
Steal My Girl,One Direction,pop,
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,
We Are Here,Alicia Keys,hip pop,
St Jude,Florence + The Machine,pop,
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,
Time of Our Lives,Pitbull,dance pop,
Sparks,Hilary Duff,dance pop,
Mr. Put It Down,Ricky Martin,dance pop,
Legendary Lovers,Katy Perry,dance pop,
Spark The Fire,Gwen Stefani,dance pop,
Run Run Run,Kelly Clarkson,dance pop,
Let Me Be Your Lover,Enrique Iglesias,dance pop,
Dangerous,Jennifer Hudson,dance pop,
L.A.LOVE (la la),Fergie,dance pop,
The Hills,The Weeknd,canadian contemporary r&b,
Love Yourself,Justin Bieber,pop,
Cake By The Ocean,DNCE,dance pop,
Don't Let Me Down,The Chainsmokers,electropop,
In the Name of Love,Martin Garrix,electro house,
Into You,Ariana Grande,dance pop,
This Is What You Came For,Calvin Harris,dance pop,
Million Reasons,Lady Gaga,dance pop,
Needed Me,Rihanna,pop,
7 Years,Lukas Graham,danish pop,
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,
Work,Rihanna,pop,
Stitches,Shawn Mendes,pop,
"Me, Myself & I",G-Eazy,hip hop,
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,
Dangerous Woman,Ariana Grande,dance pop,
Starving,Hailee Steinfeld,dance pop,
Shout Out to My Ex,Little Mix,dance pop,
Electric Love,B0NS,electropop,
Confident,Demi Lovato,dance pop,
Too Good,Drake,hip hop,
Roses,The Chainsmokers,electropop,
Cold Water (feat. Justin Bieber & M?,Major Lazer,dance pop,
Me Too,Meghan Trainor,dance pop,
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,
Ain't Your Mama,Jennifer Lopez,dance pop,
Close,Nick Jonas,dance pop,
Toothbrush,DNCE,dance pop,
All We Know,The Chainsmokers,electropop,
Final Song,M0,dance pop,
Company,Justin Bieber,pop,
Hands To Myself,Selena Gomez,dance pop,
All I Ask,Adele,soul,
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,
NO,Meghan Trainor,dance pop,
Kill Em With Kindness,Selena Gomez,dance pop,
Cool Girl,Tove Lo,dance pop,
Runnin' (Lose It All),Naughty Boy,tropical house,
Here,Alessia Cara,canadian contemporary r&b,
Perfect Illusion,Lady Gaga,dance pop,
PILLOWTALK,ZAYN,dance pop,
Out Of The Woods,Taylor Swift,pop,
Rise,Katy Perry,dance pop,
Wherever I Go,OneRepublic,dance pop,
Body Say,Demi Lovato,dance pop,
Don't Be A Fool,Shawn Mendes,pop,
LIKE I WOULD,ZAYN,dance pop,
Cheap Thrills,Sia,australian dance,
I Got You,Bebe Rexha,dance pop,
Run Away With Me,Carly Rae Jepsen,pop,
Cruel (feat. ZAYN),Snakehips,dance pop,
Send My Love (To Your New Lover),Adele,soul,
WTF (Where They From),Missy Elliott,dance pop,
Desire,Years & Years,dance pop,
When We Were Young,Adele,soul,
I Know What You Did Last Summer,Shawn Mendes,pop,
Wish That You Were Here - From 揗iss Peregrine抯 Home for Peculiar Children?Original Motion Picture,Florence + The Machine,pop,
Hurts,Emeli Sande,dance pop,
Change,Christina Aguilera,dance pop,
Make Me... (feat. G-Eazy),Britney Spears,dance pop,
Keeping Your Head Up,Birdy,neo mellow,
True Colors,Zedd,electro house,
Make Me Like You,Gwen Stefani,dance pop,
Champagne Problems,Nick Jonas,dance pop,
Blown,DNCE,dance pop,
Start,John Legend,neo mellow,
Pep Rally,Missy Elliott,dance pop,
Higher,Carly Rae Jepsen,pop,
Invitation,Britney Spears,dance pop,
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,
Beautiful Birds (feat. Birdy),Passenger,folk-pop,
Little Lies,Hilary Duff,dance pop,
Do You Wanna Come Over?,Britney Spears,dance pop,
BURNITUP!,Janet Jackson,dance pop,
Picky - Remix,Joey Montana,latin,
Behind Your Back,Nelly Furtado,canadian latin,
Million Years Ago,Adele,soul,
Shape of You,Ed Sheeran,pop,
Closer,The Chainsmokers,electropop,
Starboy,The Weeknd,canadian contemporary r&b,
Treat You Better,Shawn Mendes,pop,
That's What I Like,Bruno Mars,pop,
Let Me Love You,DJ Snake,electronic trap,
I Feel It Coming,The Weeknd,canadian contemporary r&b,
Mercy,Shawn Mendes,pop,
Side To Side,Ariana Grande,dance pop,
Stay,Zedd,electro house,
It Ain't Me (with Selena Gomez),Kygo,edm,
Malibu,Miley Cyrus,dance pop,
Something Just Like This,The Chainsmokers,electropop,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,
I Don抰 Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,
My Way,Calvin Harris,dance pop,
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,
Praying,Kesha,dance pop,
Despacito - Remix,Luis Fonsi,latin,
The Greatest,Sia,australian dance,
There for You,Martin Garrix,electro house,
Paris,The Chainsmokers,electropop,
Crying in the Club,Camila Cabello,dance pop,
Mama,Jonas Blue,dance pop,
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,
Swish Swish,Katy Perry,dance pop,
Chained To The Rhythm,Katy Perry,dance pop,
Cold (feat. Future),Maroon 5,pop,
Love,Lana Del Rey,pop,
Reggaet髇 Lento (Remix),CNCO,pop,
All I Ask,Adele,soul,
First Time,Kygo,edm,
The Cure,Lady Gaga,dance pop,
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,
Bodak Yellow,Cardi B,pop,
Rich Love (with Seeb),OneRepublic,dance pop,
Tired,Alan Walker,electro house,
Came Here for Love,Sigala,dance pop,
24K Magic,Bruno Mars,pop,
Strip That Down (feat. Quavo),Liam Payne,dance pop,
Cut To The Feeling,Carly Rae Jepsen,pop,
OK - Spotify Version,Robin Schulz,dance pop,
Bon app閠it,Katy Perry,dance pop,
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,pop,
Get Low (with Liam Payne),Zedd,electro house,
Kissing Strangers,DNCE,dance pop,
Slow Hands,Niall Horan,dance pop,
Younger Now,Miley Cyrus,dance pop,
Body Moves,DNCE,dance pop,
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,
Angel,Fifth Harmony,dance pop,
Touch (feat. Kid Ink),Little Mix,dance pop,
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,
No Vacancy (with Sebasti醤 Yatra),OneRepublic,dance pop,
Rich Boy,Galantis,electro house,
Lust for Life (with The Weeknd),Lana Del Rey,pop,
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,
Influence,Tove Lo,dance pop,
Remember I Told You,Nick Jonas,dance pop,
Messin' Around,Pitbull,dance pop,
Water Under the Bridge,Adele,soul,
Free Me,Sia,australian dance,
Kissing Strangers - Remix,DNCE,dance pop,
A L I E N S,Coldplay,permanent wave,
One Kiss (with Dua Lipa),Calvin Harris,dance pop,
Havana (feat. Young Thug),Camila Cabello,dance pop,
I Like It,Cardi B,pop,
New Rules,Dua Lipa,dance pop,
There's Nothing Holdin' Me Back,Shawn Mendes,pop,
no tears left to cry,Ariana Grande,dance pop,
IDGAF,Dua Lipa,dance pop,
In My Blood,Shawn Mendes,pop,
Wolves,Selena Gomez,dance pop,
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,
Attention,Charlie Puth,dance pop,
Electricity (with Dua Lipa),Silk City,edm,
Love On The Brain,Rihanna,pop,
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,
Silence,Marshmello,brostep,
Sorry Not Sorry,Demi Lovato,dance pop,
Shallow - Radio Edit,Lady Gaga,dance pop,
These Days,Rudimental,dance pop,
What Lovers Do (feat. SZA),Maroon 5,pop,
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,
Perfect Duet (Ed Sheeran & Beyonc?,Ed Sheeran,pop,
Bad At Love,Halsey,dance pop,
Him & I (with Halsey),G-Eazy,hip hop,
Friends (with BloodPop?,Justin Bieber,pop,
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,
My My My!,Troye Sivan,dance pop,
Capital Letters,Hailee Steinfeld,dance pop,
Sick Boy,The Chainsmokers,electropop,
Tequila,Dan + Shay,contemporary country,
Look What You Made Me Do,Taylor Swift,pop,
Youth (feat. Khalid),Shawn Mendes,pop,
Bad Liar,Selena Gomez,dance pop,
Anywhere,Rita Ora,dance pop,
Say Something,Justin Timberlake,dance pop,
Chun-Li,Nicki Minaj,dance pop,
Sign of the Times,Harry Styles,dance pop,
Familiar,Liam Payne,dance pop,
Let Me,ZAYN,dance pop,
Supernova,Ansel Elgort,dance pop,
Nervous,Shawn Mendes,pop,
First Time,Kygo,edm,
End Game,Taylor Swift,pop,
Mi Gente (feat. Beyonc?,J Balvin,latin,
Lemon,N.E.R.D,hip hop,
For You (With Rita Ora),Liam Payne,dance pop,
Want To,Dua Lipa,dance pop,
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,
Wait,Maroon 5,pop,
What About Us,P!nk,dance pop,
Kissing Strangers,DNCE,dance pop,
2U (feat. Justin Bieber),David Guetta,dance pop,
Walk On Water (feat. Beyonc?,Eminem,hip hop,
This Town,Niall Horan,dance pop,
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,
MOVE TO MIAMI,Enrique Iglesias,dance pop,
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,
Filthy,Justin Timberlake,dance pop,
Never Be the Same - Radio Edit,Camila Cabello,dance pop,
Ferrari,Bebe Rexha,dance pop,
Supplies,Justin Timberlake,dance pop,
Boom Boom,RedOne,moroccan pop,
...Ready For It? - BloodPop?Remix,Taylor Swift,pop,
Drip (feat. Migos),Cardi B,pop,
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,
Memories,Maroon 5,pop,
Lose You To Love Me,Selena Gomez,dance pop,
Someone You Loved,Lewis Capaldi,pop,
Se駉rita,Shawn Mendes,pop,
How Do You Sleep?,Sam Smith,pop,
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,
Trampoline (with ZAYN),SHAED,electropop,
Happier,Marshmello,brostep,
Truth Hurts,Lizzo,escape room,
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,
Higher Love,Kygo,edm,
Only Human,Jonas Brothers,pop,
Beautiful People (feat. Khalid),Ed Sheeran,pop,
Sucker,Jonas Brothers,pop,
Don't Call Me Up,Mabel,dance pop,
I Don't Care (with Justin Bieber),Ed Sheeran,pop,
Talk (feat. Disclosure),Khalid,alternative r&b,
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,
Takeaway,The Chainsmokers,electropop,
All Around The World (La La La),R3HAB,electro house,
Girls Like You (feat. Cardi B),Maroon 5,pop,
Call You Mine,The Chainsmokers,electropop,
No Guidance (feat. Drake),Chris Brown,dance pop,
Antisocial (with Travis Scott),Ed Sheeran,pop,
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,
Con Calma - Remix,Daddy Yankee,latin,
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,
